waawaatesi+NA	waawaatesiw
2+waawaatesi+NA+Con+Pej+1+Pl+Pl	giwaawaatesiwenyishnaany1ag

2+waawaatesi+NA+Con+Pej+2+Pl+4	giwaawaatesiwenyishwaan

2+waawaatesi+NA+Con+Pej+2+Pl+Loc	giwaawaatesiwenyishwaang

2+waawaatesi+NA+Con+Pej+2+Pl+Pl	giwaawaatesiwenyishwaaag

2+waawaatesi+NA+Dim+Pej+1+Pl+4	giwaawaatesiwensishnaanin

2+waawaatesi+NA+Dim+Pej+1+Pl+Loc	giwaawaatesiwensishnaaning

2+waawaatesi+NA+Dim+Pej+1+Pl+Pl	giwaawaatesiwensishnaany1ag

2+waawaatesi+NA+Dim+Pej+2+Pl+4	giwaawaatesiwensishwaan

2+waawaatesi+NA+Dim+Pej+2+Pl+Loc	giwaawaatesiwensishwaang

2+waawaatesi+NA+Dim+Pej+2+Pl+Pl	giwaawaatesiwensishwaaag

3+waawaatesi+NA+Con+Pej+2+Pl+4	owaawaatesiwenyishwaan

3+waawaatesi+NA+Con+Pej+2+Pl+Loc	owaawaatesiwenyishwaang

3+waawaatesi+NA+Con+Pej+3+4+4	owaawaatesiwenyishniwan

3+waawaatesi+NA+Con+Pej+3+4+Loc	owaawaatesiwenyishniing

3+waawaatesi+NA+Dim+Pej+2+Pl+4	owaawaatesiwensishwaan

3+waawaatesi+NA+Dim+Pej+2+Pl+Loc	owaawaatesiwensishwaang

3+waawaatesi+NA+Dim+Pej+3+4+4	owaawaatesiwensishniwan

3+waawaatesi+NA+Dim+Pej+3+4+Loc	owaawaatesiwensishniing

1+waawaatesi+NA+Con+Pej+Prt+4	niwaawaatesiwenyishibaniin

1+waawaatesi+NA+Con+Pej+Prt+Loc	niwaawaatesiwenyishibaniing

1+waawaatesi+NA+Con+Pej+Prt+Pl	niwaawaatesiwenyishibani1ag

1+waawaatesi+NA+Dim+Pej+Prt+4	niwaawaatesiwensishibaniin

1+waawaatesi+NA+Dim+Pej+Prt+Loc	niwaawaatesiwensishibaniing

1+waawaatesi+NA+Dim+Pej+Prt+Pl	niwaawaatesiwensishibani1ag

2+waawaatesi+NA+Con+Pej+Prt+4	giwaawaatesiwenyishibaniin

2+waawaatesi+NA+Con+Pej+Prt+Loc	giwaawaatesiwenyishibaniing

2+waawaatesi+NA+Con+Pej+Prt+Pl	giwaawaatesiwenyishibani1ag

2+waawaatesi+NA+Dim+Pej+Prt+4	giwaawaatesiwensishibaniin

2+waawaatesi+NA+Dim+Pej+Prt+Loc	giwaawaatesiwensishibaniing

2+waawaatesi+NA+Dim+Pej+Prt+Pl	giwaawaatesiwensishibani1ag

3+waawaatesi+NA+Con+Pej+Prt+4	owaawaatesiwenyishibaniin

3+waawaatesi+NA+Con+Pej+Prt+Loc	owaawaatesiwenyishibaniing

3+waawaatesi+NA+Dim+Pej+Prt+4	owaawaatesiwensishibaniin

3+waawaatesi+NA+Dim+Pej+Prt+Loc	owaawaatesiwensishibaniing

X+waawaatesi+NA+Con+Pej+Prt+4	iwaawaatesiwenyishibaniin

X+waawaatesi+NA+Con+Pej+Prt+Loc	iwaawaatesiwenyishibaniing

X+waawaatesi+NA+Con+Pej+Prt+Pl	iwaawaatesiwenyishibani1ag

X+waawaatesi+NA+Dim+Pej+Prt+4	iwaawaatesiwensishibaniin

X+waawaatesi+NA+Dim+Pej+Prt+Loc	iwaawaatesiwensishibaniing

X+waawaatesi+NA+Dim+Pej+Prt+Pl	iwaawaatesiwensishibani1ag

1+waawaatesi+NA+Con+1+Pl+Prt+4	niwaawaatesiwenynaanibaniin

1+waawaatesi+NA+Con+1+Pl+Prt+Loc	niwaawaatesiwenynaanibaniing

1+waawaatesi+NA+Con+1+Pl+Prt+Pl	niwaawaatesiwenynaanibani1ag

1+waawaatesi+NA+Dim+1+Pl+Prt+4	niwaawaatesiwensnaanibaniin

1+waawaatesi+NA+Dim+1+Pl+Prt+Loc	niwaawaatesiwensnaanibaniing

1+waawaatesi+NA+Dim+1+Pl+Prt+Pl	niwaawaatesiwensnaanibani1ag

2+waawaatesi+NA+Con+1+Pl+Prt+4	giwaawaatesiwenynaanibaniin

2+waawaatesi+NA+Con+1+Pl+Prt+Loc	giwaawaatesiwenynaanibaniing

2+waawaatesi+NA+Con+1+Pl+Prt+Pl	giwaawaatesiwenynaanibani1ag

2+waawaatesi+NA+Con+2+Pl+Prt+4	giwaawaatesiwenywaabaniin

2+waawaatesi+NA+Con+2+Pl+Prt+Loc	giwaawaatesiwenywaabaniing

2+waawaatesi+NA+Con+2+Pl+Prt+Pl	giwaawaatesiwenywaabani1ag

2+waawaatesi+NA+Dim+1+Pl+Prt+4	giwaawaatesiwensnaanibaniin

2+waawaatesi+NA+Dim+1+Pl+Prt+Loc	giwaawaatesiwensnaanibaniing

2+waawaatesi+NA+Dim+1+Pl+Prt+Pl	giwaawaatesiwensnaanibani1ag

2+waawaatesi+NA+Dim+2+Pl+Prt+4	giwaawaatesiwenswaabaniin

2+waawaatesi+NA+Dim+2+Pl+Prt+Loc	giwaawaatesiwenswaabaniing

2+waawaatesi+NA+Dim+2+Pl+Prt+Pl	giwaawaatesiwenswaabani1ag

3+waawaatesi+NA+Con+2+Pl+Prt+4	owaawaatesiwenywaabaniin

3+waawaatesi+NA+Con+2+Pl+Prt+Loc	owaawaatesiwenywaabaniing

3+waawaatesi+NA+Con+3+4+Prt+4	owaawaatesiwenyniwibaniin
3+waawaatesi+NA+Con+3+4+Prt+4	owaawaatesiwenyniibaniin

3+waawaatesi+NA+Con+3+4+Prt+Loc	owaawaatesiwenyniwibaniing
3+waawaatesi+NA+Con+3+4+Prt+Loc	owaawaatesiwenyniibaniing

3+waawaatesi+NA+Dim+2+Pl+Prt+4	owaawaatesiwenswaabaniin

3+waawaatesi+NA+Dim+2+Pl+Prt+Loc	owaawaatesiwenswaabaniing

3+waawaatesi+NA+Dim+3+4+Prt+4	owaawaatesiwensniwibaniin
3+waawaatesi+NA+Dim+3+4+Prt+4	owaawaatesiwensniibaniin

3+waawaatesi+NA+Dim+3+4+Prt+Loc	owaawaatesiwensniwibaniing
3+waawaatesi+NA+Dim+3+4+Prt+Loc	owaawaatesiwensniibaniing

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwmishnaaniban
1+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwmishnaaniba

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Voc+Pl	niwaawaatesiwmishnaany1dig

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwmishnaaniban
2+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwmishnaaniba

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Voc+Pl	giwaawaatesiwmishnaany1dig

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwmishwaaban
2+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwmishwaaba

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Voc+Pl	giwaawaatesiwmishwaadig

3+waawaatesi+NA+ThmPos+Pej+3+4+Prt	owaawaatesiwmishniwiban
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt	owaawaatesiwmishniwiba
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt	owaawaatesiwmishniiban
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt	owaawaatesiwmishniiba

1+waawaatesi+NA+ThmPos+Pej+1+Pl+4	niwaawaatesiwmishnaanin

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Loc	niwaawaatesiwmishnaaning

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Pl	niwaawaatesiwmishnaany1ag

2+waawaatesi+NA+ThmPos+Pej+1+Pl+4	giwaawaatesiwmishnaanin

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Loc	giwaawaatesiwmishnaaning

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Pl	giwaawaatesiwmishnaany1ag

2+waawaatesi+NA+ThmPos+Pej+2+Pl+4	giwaawaatesiwmishwaan

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Loc	giwaawaatesiwmishwaang

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Pl	giwaawaatesiwmishwaaag

3+waawaatesi+NA+ThmPos+Pej+2+Pl+4	owaawaatesiwmishwaan

3+waawaatesi+NA+ThmPos+Pej+2+Pl+Loc	owaawaatesiwmishwaang

3+waawaatesi+NA+ThmPos+Pej+3+4+4	owaawaatesiwmishniwan

3+waawaatesi+NA+ThmPos+Pej+3+4+Loc	owaawaatesiwmishniing

1+waawaatesi+NA+ThmPos+Pej+Prt+4	niwaawaatesiwmishibaniin

1+waawaatesi+NA+ThmPos+Pej+Prt+Loc	niwaawaatesiwmishibaniing

1+waawaatesi+NA+ThmPos+Pej+Prt+Pl	niwaawaatesiwmishibani1ag

2+waawaatesi+NA+ThmPos+Pej+Prt+4	giwaawaatesiwmishibaniin

2+waawaatesi+NA+ThmPos+Pej+Prt+Loc	giwaawaatesiwmishibaniing

2+waawaatesi+NA+ThmPos+Pej+Prt+Pl	giwaawaatesiwmishibani1ag

3+waawaatesi+NA+ThmPos+Pej+Prt+4	owaawaatesiwmishibaniin

3+waawaatesi+NA+ThmPos+Pej+Prt+Loc	owaawaatesiwmishibaniing

X+waawaatesi+NA+ThmPos+Pej+Prt+4	iwaawaatesiwmishibaniin

X+waawaatesi+NA+ThmPos+Pej+Prt+Loc	iwaawaatesiwmishibaniing

X+waawaatesi+NA+ThmPos+Pej+Prt+Pl	iwaawaatesiwmishibani1ag

1+waawaatesi+NA+ThmPos+1+Pl+Prt+4	niwaawaatesiwmnaanibaniin

1+waawaatesi+NA+ThmPos+1+Pl+Prt+Loc	niwaawaatesiwmnaanibaniing

1+waawaatesi+NA+ThmPos+1+Pl+Prt+Pl	niwaawaatesiwmnaanibani1ag

2+waawaatesi+NA+ThmPos+1+Pl+Prt+4	giwaawaatesiwmnaanibaniin

2+waawaatesi+NA+ThmPos+1+Pl+Prt+Loc	giwaawaatesiwmnaanibaniing

2+waawaatesi+NA+ThmPos+1+Pl+Prt+Pl	giwaawaatesiwmnaanibani1ag

2+waawaatesi+NA+ThmPos+2+Pl+Prt+4	giwaawaatesiwmwaabaniin

2+waawaatesi+NA+ThmPos+2+Pl+Prt+Loc	giwaawaatesiwmwaabaniing

2+waawaatesi+NA+ThmPos+2+Pl+Prt+Pl	giwaawaatesiwmwaabani1ag

3+waawaatesi+NA+ThmPos+2+Pl+Prt+4	owaawaatesiwmwaabaniin

3+waawaatesi+NA+ThmPos+2+Pl+Prt+Loc	owaawaatesiwmwaabaniing

3+waawaatesi+NA+ThmPos+3+4+Prt+4	owaawaatesiwmniwibaniin
3+waawaatesi+NA+ThmPos+3+4+Prt+4	owaawaatesiwmniibaniin

3+waawaatesi+NA+ThmPos+3+4+Prt+Loc	owaawaatesiwmniwibaniing
3+waawaatesi+NA+ThmPos+3+4+Prt+Loc	owaawaatesiwmniibaniing

1+waawaatesi+NA+Pej+1+Pl+Prt+4	niwaawaatesiwshnaanibaniin

1+waawaatesi+NA+Pej+1+Pl+Prt+Loc	niwaawaatesiwshnaanibaniing

1+waawaatesi+NA+Pej+1+Pl+Prt+Pl	niwaawaatesiwshnaanibani1ag

2+waawaatesi+NA+Pej+1+Pl+Prt+4	giwaawaatesiwshnaanibaniin

2+waawaatesi+NA+Pej+1+Pl+Prt+Loc	giwaawaatesiwshnaanibaniing

2+waawaatesi+NA+Pej+1+Pl+Prt+Pl	giwaawaatesiwshnaanibani1ag

2+waawaatesi+NA+Pej+2+Pl+Prt+4	giwaawaatesiwshwaabaniin

2+waawaatesi+NA+Pej+2+Pl+Prt+Loc	giwaawaatesiwshwaabaniing

2+waawaatesi+NA+Pej+2+Pl+Prt+Pl	giwaawaatesiwshwaabani1ag

3+waawaatesi+NA+Pej+2+Pl+Prt+4	owaawaatesiwshwaabaniin

3+waawaatesi+NA+Pej+2+Pl+Prt+Loc	owaawaatesiwshwaabaniing

3+waawaatesi+NA+Pej+3+4+Prt+4	owaawaatesiwshniwibaniin
3+waawaatesi+NA+Pej+3+4+Prt+4	owaawaatesiwshniibaniin

3+waawaatesi+NA+Pej+3+4+Prt+Loc	owaawaatesiwshniwibaniing
3+waawaatesi+NA+Pej+3+4+Prt+Loc	owaawaatesiwshniibaniing

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwenymishnaaniban
1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwenymishnaaniba

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	niwaawaatesiwenymishnaany1dig

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwensmishnaaniban
1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt	niwaawaatesiwensmishnaaniba

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	niwaawaatesiwensmishnaany1dig

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwenymishnaaniban
2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwenymishnaaniba

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	giwaawaatesiwenymishnaany1dig

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwenymishwaaban
2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwenymishwaaba

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Voc+Pl	giwaawaatesiwenymishwaadig

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwensmishnaaniban
2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt	giwaawaatesiwensmishnaaniba

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	giwaawaatesiwensmishnaany1dig

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwensmishwaaban
2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt	giwaawaatesiwensmishwaaba

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Voc+Pl	giwaawaatesiwensmishwaadig

3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt	owaawaatesiwenymishniwiban
3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt	owaawaatesiwenymishniwiba
3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt	owaawaatesiwenymishniiban
3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt	owaawaatesiwenymishniiba

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt	owaawaatesiwensmishniwiban
3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt	owaawaatesiwensmishniwiba
3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt	owaawaatesiwensmishniiban
3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt	owaawaatesiwensmishniiba

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+4	niwaawaatesiwenymishnaanin

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Loc	niwaawaatesiwenymishnaaning

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Pl	niwaawaatesiwenymishnaany1ag

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+4	niwaawaatesiwensmishnaanin

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Loc	niwaawaatesiwensmishnaaning

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Pl	niwaawaatesiwensmishnaany1ag

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+4	giwaawaatesiwenymishnaanin

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Loc	giwaawaatesiwenymishnaaning

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Pl	giwaawaatesiwenymishnaany1ag

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+4	giwaawaatesiwenymishwaan

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Loc	giwaawaatesiwenymishwaang

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Pl	giwaawaatesiwenymishwaaag

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+4	giwaawaatesiwensmishnaanin

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Loc	giwaawaatesiwensmishnaaning

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Pl	giwaawaatesiwensmishnaany1ag

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+4	giwaawaatesiwensmishwaan

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Loc	giwaawaatesiwensmishwaang

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Pl	giwaawaatesiwensmishwaaag

3+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+4	owaawaatesiwenymishwaan

3+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Loc	owaawaatesiwenymishwaang

3+waawaatesi+NA+Con+ThmPos+Pej+3+4+4	owaawaatesiwenymishniwan

3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Loc	owaawaatesiwenymishniing

3+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+4	owaawaatesiwensmishwaan

3+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Loc	owaawaatesiwensmishwaang

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+4	owaawaatesiwensmishniwan

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Loc	owaawaatesiwensmishniing

1+waawaatesi+NA+Con+ThmPos+Pej+Prt+4	niwaawaatesiwenymishibaniin

1+waawaatesi+NA+Con+ThmPos+Pej+Prt+Loc	niwaawaatesiwenymishibaniing

1+waawaatesi+NA+Con+ThmPos+Pej+Prt+Pl	niwaawaatesiwenymishibani1ag

1+waawaatesi+NA+Dim+ThmPos+Pej+Prt+4	niwaawaatesiwensmishibaniin

1+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Loc	niwaawaatesiwensmishibaniing

1+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Pl	niwaawaatesiwensmishibani1ag

2+waawaatesi+NA+Con+ThmPos+Pej+Prt+4	giwaawaatesiwenymishibaniin

2+waawaatesi+NA+Con+ThmPos+Pej+Prt+Loc	giwaawaatesiwenymishibaniing

2+waawaatesi+NA+Con+ThmPos+Pej+Prt+Pl	giwaawaatesiwenymishibani1ag

2+waawaatesi+NA+Dim+ThmPos+Pej+Prt+4	giwaawaatesiwensmishibaniin

2+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Loc	giwaawaatesiwensmishibaniing

2+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Pl	giwaawaatesiwensmishibani1ag

3+waawaatesi+NA+Con+ThmPos+Pej+Prt+4	owaawaatesiwenymishibaniin

3+waawaatesi+NA+Con+ThmPos+Pej+Prt+Loc	owaawaatesiwenymishibaniing

3+waawaatesi+NA+Dim+ThmPos+Pej+Prt+4	owaawaatesiwensmishibaniin

3+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Loc	owaawaatesiwensmishibaniing

X+waawaatesi+NA+Con+ThmPos+Pej+Prt+4	iwaawaatesiwenymishibaniin

X+waawaatesi+NA+Con+ThmPos+Pej+Prt+Loc	iwaawaatesiwenymishibaniing

X+waawaatesi+NA+Con+ThmPos+Pej+Prt+Pl	iwaawaatesiwenymishibani1ag

X+waawaatesi+NA+Dim+ThmPos+Pej+Prt+4	iwaawaatesiwensmishibaniin

X+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Loc	iwaawaatesiwensmishibaniing

X+waawaatesi+NA+Dim+ThmPos+Pej+Prt+Pl	iwaawaatesiwensmishibani1ag

1+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+4	niwaawaatesiwenymnaanibaniin

1+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+Loc	niwaawaatesiwenymnaanibaniing

1+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+Pl	niwaawaatesiwenymnaanibani1ag

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+4	niwaawaatesiwensmnaanibaniin

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+Loc	niwaawaatesiwensmnaanibaniing

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+Pl	niwaawaatesiwensmnaanibani1ag

2+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+4	giwaawaatesiwenymnaanibaniin

2+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+Loc	giwaawaatesiwenymnaanibaniing

2+waawaatesi+NA+Con+ThmPos+1+Pl+Prt+Pl	giwaawaatesiwenymnaanibani1ag

2+waawaatesi+NA+Con+ThmPos+2+Pl+Prt+4	giwaawaatesiwenymwaabaniin

2+waawaatesi+NA+Con+ThmPos+2+Pl+Prt+Loc	giwaawaatesiwenymwaabaniing

2+waawaatesi+NA+Con+ThmPos+2+Pl+Prt+Pl	giwaawaatesiwenymwaabani1ag

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+4	giwaawaatesiwensmnaanibaniin

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+Loc	giwaawaatesiwensmnaanibaniing

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt+Pl	giwaawaatesiwensmnaanibani1ag

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt+4	giwaawaatesiwensmwaabaniin

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt+Loc	giwaawaatesiwensmwaabaniing

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt+Pl	giwaawaatesiwensmwaabani1ag

3+waawaatesi+NA+Con+ThmPos+2+Pl+Prt+4	owaawaatesiwenymwaabaniin

3+waawaatesi+NA+Con+ThmPos+2+Pl+Prt+Loc	owaawaatesiwenymwaabaniing

3+waawaatesi+NA+Con+ThmPos+3+4+Prt+4	owaawaatesiwenymniwibaniin
3+waawaatesi+NA+Con+ThmPos+3+4+Prt+4	owaawaatesiwenymniibaniin

3+waawaatesi+NA+Con+ThmPos+3+4+Prt+Loc	owaawaatesiwenymniwibaniing
3+waawaatesi+NA+Con+ThmPos+3+4+Prt+Loc	owaawaatesiwenymniibaniing

3+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt+4	owaawaatesiwensmwaabaniin

3+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt+Loc	owaawaatesiwensmwaabaniing

3+waawaatesi+NA+Dim+ThmPos+3+4+Prt+4	owaawaatesiwensmniwibaniin
3+waawaatesi+NA+Dim+ThmPos+3+4+Prt+4	owaawaatesiwensmniibaniin

3+waawaatesi+NA+Dim+ThmPos+3+4+Prt+Loc	owaawaatesiwensmniwibaniing
3+waawaatesi+NA+Dim+ThmPos+3+4+Prt+Loc	owaawaatesiwensmniibaniing

1+waawaatesi+NA+Con+Pej+1+Pl+Prt+4	niwaawaatesiwenyishnaanibaniin

1+waawaatesi+NA+Con+Pej+1+Pl+Prt+Loc	niwaawaatesiwenyishnaanibaniing

1+waawaatesi+NA+Con+Pej+1+Pl+Prt+Pl	niwaawaatesiwenyishnaanibani1ag

1+waawaatesi+NA+Dim+Pej+1+Pl+Prt+4	niwaawaatesiwensishnaanibaniin

1+waawaatesi+NA+Dim+Pej+1+Pl+Prt+Loc	niwaawaatesiwensishnaanibaniing

1+waawaatesi+NA+Dim+Pej+1+Pl+Prt+Pl	niwaawaatesiwensishnaanibani1ag

2+waawaatesi+NA+Con+Pej+1+Pl+Prt+4	giwaawaatesiwenyishnaanibaniin

2+waawaatesi+NA+Con+Pej+1+Pl+Prt+Loc	giwaawaatesiwenyishnaanibaniing

2+waawaatesi+NA+Con+Pej+1+Pl+Prt+Pl	giwaawaatesiwenyishnaanibani1ag

2+waawaatesi+NA+Con+Pej+2+Pl+Prt+4	giwaawaatesiwenyishwaabaniin

2+waawaatesi+NA+Con+Pej+2+Pl+Prt+Loc	giwaawaatesiwenyishwaabaniing

2+waawaatesi+NA+Con+Pej+2+Pl+Prt+Pl	giwaawaatesiwenyishwaabani1ag

2+waawaatesi+NA+Dim+Pej+1+Pl+Prt+4	giwaawaatesiwensishnaanibaniin

2+waawaatesi+NA+Dim+Pej+1+Pl+Prt+Loc	giwaawaatesiwensishnaanibaniing

2+waawaatesi+NA+Dim+Pej+1+Pl+Prt+Pl	giwaawaatesiwensishnaanibani1ag

2+waawaatesi+NA+Dim+Pej+2+Pl+Prt+4	giwaawaatesiwensishwaabaniin

2+waawaatesi+NA+Dim+Pej+2+Pl+Prt+Loc	giwaawaatesiwensishwaabaniing

2+waawaatesi+NA+Dim+Pej+2+Pl+Prt+Pl	giwaawaatesiwensishwaabani1ag

3+waawaatesi+NA+Con+Pej+2+Pl+Prt+4	owaawaatesiwenyishwaabaniin

3+waawaatesi+NA+Con+Pej+2+Pl+Prt+Loc	owaawaatesiwenyishwaabaniing

3+waawaatesi+NA+Con+Pej+3+4+Prt+4	owaawaatesiwenyishniwibaniin
3+waawaatesi+NA+Con+Pej+3+4+Prt+4	owaawaatesiwenyishniibaniin

3+waawaatesi+NA+Con+Pej+3+4+Prt+Loc	owaawaatesiwenyishniwibaniing
3+waawaatesi+NA+Con+Pej+3+4+Prt+Loc	owaawaatesiwenyishniibaniing

3+waawaatesi+NA+Dim+Pej+2+Pl+Prt+4	owaawaatesiwensishwaabaniin

3+waawaatesi+NA+Dim+Pej+2+Pl+Prt+Loc	owaawaatesiwensishwaabaniing

3+waawaatesi+NA+Dim+Pej+3+4+Prt+4	owaawaatesiwensishniwibaniin
3+waawaatesi+NA+Dim+Pej+3+4+Prt+4	owaawaatesiwensishniibaniin

3+waawaatesi+NA+Dim+Pej+3+4+Prt+Loc	owaawaatesiwensishniwibaniing
3+waawaatesi+NA+Dim+Pej+3+4+Prt+Loc	owaawaatesiwensishniibaniing

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+4	niwaawaatesiwmishnaanibaniin

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+Loc	niwaawaatesiwmishnaanibaniing

1+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+Pl	niwaawaatesiwmishnaanibani1ag

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+4	giwaawaatesiwmishnaanibaniin

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+Loc	giwaawaatesiwmishnaanibaniing

2+waawaatesi+NA+ThmPos+Pej+1+Pl+Prt+Pl	giwaawaatesiwmishnaanibani1ag

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt+4	giwaawaatesiwmishwaabaniin

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt+Loc	giwaawaatesiwmishwaabaniing

2+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt+Pl	giwaawaatesiwmishwaabani1ag

3+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt+4	owaawaatesiwmishwaabaniin

3+waawaatesi+NA+ThmPos+Pej+2+Pl+Prt+Loc	owaawaatesiwmishwaabaniing

