jooweshk+NA	jooweshk
3+jooweshk+NA+Dim+2+Pl+Prt+4	ojooweshkenswaabaniin

3+jooweshk+NA+Dim+2+Pl+Prt+Loc	ojooweshkenswaabaniing

3+jooweshk+NA+Dim+3+4+Prt+4	ojooweshkensniwibaniin
3+jooweshk+NA+Dim+3+4+Prt+4	ojooweshkensniibaniin

3+jooweshk+NA+Dim+3+4+Prt+Loc	ojooweshkensniwibaniing
3+jooweshk+NA+Dim+3+4+Prt+Loc	ojooweshkensniibaniing

1+jooweshk+NA+ThmPos+Pej+1+Pl+Prt	nijooweshkmishnaaniban
1+jooweshk+NA+ThmPos+Pej+1+Pl+Prt	nijooweshkmishnaaniba

1+jooweshk+NA+ThmPos+Pej+1+Pl+Voc+Pl	nijooweshkmishnaany1dig

2+jooweshk+NA+ThmPos+Pej+1+Pl+Prt	gijooweshkmishnaaniban
2+jooweshk+NA+ThmPos+Pej+1+Pl+Prt	gijooweshkmishnaaniba

2+jooweshk+NA+ThmPos+Pej+1+Pl+Voc+Pl	gijooweshkmishnaany1dig

2+jooweshk+NA+ThmPos+Pej+2+Pl+Prt	gijooweshkmishwaaban
2+jooweshk+NA+ThmPos+Pej+2+Pl+Prt	gijooweshkmishwaaba

2+jooweshk+NA+ThmPos+Pej+2+Pl+Voc+Pl	gijooweshkmishwaadig

3+jooweshk+NA+ThmPos+Pej+3+4+Prt	ojooweshkmishniwiban
3+jooweshk+NA+ThmPos+Pej+3+4+Prt	ojooweshkmishniwiba
3+jooweshk+NA+ThmPos+Pej+3+4+Prt	ojooweshkmishniiban
3+jooweshk+NA+ThmPos+Pej+3+4+Prt	ojooweshkmishniiba

1+jooweshk+NA+ThmPos+Pej+1+Pl+4	nijooweshkmishnaanin

1+jooweshk+NA+ThmPos+Pej+1+Pl+Loc	nijooweshkmishnaaning

1+jooweshk+NA+ThmPos+Pej+1+Pl+Pl	nijooweshkmishnaany1ag

2+jooweshk+NA+ThmPos+Pej+1+Pl+4	gijooweshkmishnaanin

2+jooweshk+NA+ThmPos+Pej+1+Pl+Loc	gijooweshkmishnaaning

2+jooweshk+NA+ThmPos+Pej+1+Pl+Pl	gijooweshkmishnaany1ag

2+jooweshk+NA+ThmPos+Pej+2+Pl+4	gijooweshkmishwaan

2+jooweshk+NA+ThmPos+Pej+2+Pl+Loc	gijooweshkmishwaang

2+jooweshk+NA+ThmPos+Pej+2+Pl+Pl	gijooweshkmishwaaag

3+jooweshk+NA+ThmPos+Pej+2+Pl+4	ojooweshkmishwaan

3+jooweshk+NA+ThmPos+Pej+2+Pl+Loc	ojooweshkmishwaang

3+jooweshk+NA+ThmPos+Pej+3+4+4	ojooweshkmishniwan

3+jooweshk+NA+ThmPos+Pej+3+4+Loc	ojooweshkmishniing

1+jooweshk+NA+ThmPos+Pej+Prt+4	nijooweshkmishibaniin

1+jooweshk+NA+ThmPos+Pej+Prt+Loc	nijooweshkmishibaniing

1+jooweshk+NA+ThmPos+Pej+Prt+Pl	nijooweshkmishibani1ag

2+jooweshk+NA+ThmPos+Pej+Prt+4	gijooweshkmishibaniin

2+jooweshk+NA+ThmPos+Pej+Prt+Loc	gijooweshkmishibaniing

2+jooweshk+NA+ThmPos+Pej+Prt+Pl	gijooweshkmishibani1ag

3+jooweshk+NA+ThmPos+Pej+Prt+4	ojooweshkmishibaniin

3+jooweshk+NA+ThmPos+Pej+Prt+Loc	ojooweshkmishibaniing

X+jooweshk+NA+ThmPos+Pej+Prt+4	ijooweshkmishibaniin

X+jooweshk+NA+ThmPos+Pej+Prt+Loc	ijooweshkmishibaniing

X+jooweshk+NA+ThmPos+Pej+Prt+Pl	ijooweshkmishibani1ag

1+jooweshk+NA+ThmPos+1+Pl+Prt+4	nijooweshkmnaanibaniin

1+jooweshk+NA+ThmPos+1+Pl+Prt+Loc	nijooweshkmnaanibaniing

1+jooweshk+NA+ThmPos+1+Pl+Prt+Pl	nijooweshkmnaanibani1ag

2+jooweshk+NA+ThmPos+1+Pl+Prt+4	gijooweshkmnaanibaniin

2+jooweshk+NA+ThmPos+1+Pl+Prt+Loc	gijooweshkmnaanibaniing

2+jooweshk+NA+ThmPos+1+Pl+Prt+Pl	gijooweshkmnaanibani1ag

2+jooweshk+NA+ThmPos+2+Pl+Prt+4	gijooweshkmwaabaniin

2+jooweshk+NA+ThmPos+2+Pl+Prt+Loc	gijooweshkmwaabaniing

2+jooweshk+NA+ThmPos+2+Pl+Prt+Pl	gijooweshkmwaabani1ag

3+jooweshk+NA+ThmPos+2+Pl+Prt+4	ojooweshkmwaabaniin

3+jooweshk+NA+ThmPos+2+Pl+Prt+Loc	ojooweshkmwaabaniing

3+jooweshk+NA+ThmPos+3+4+Prt+4	ojooweshkmniwibaniin
3+jooweshk+NA+ThmPos+3+4+Prt+4	ojooweshkmniibaniin

3+jooweshk+NA+ThmPos+3+4+Prt+Loc	ojooweshkmniwibaniing
3+jooweshk+NA+ThmPos+3+4+Prt+Loc	ojooweshkmniibaniing

1+jooweshk+NA+Pej+1+Pl+Prt+4	nijooweshkshnaanibaniin

1+jooweshk+NA+Pej+1+Pl+Prt+Loc	nijooweshkshnaanibaniing

1+jooweshk+NA+Pej+1+Pl+Prt+Pl	nijooweshkshnaanibani1ag

2+jooweshk+NA+Pej+1+Pl+Prt+4	gijooweshkshnaanibaniin

2+jooweshk+NA+Pej+1+Pl+Prt+Loc	gijooweshkshnaanibaniing

2+jooweshk+NA+Pej+1+Pl+Prt+Pl	gijooweshkshnaanibani1ag

2+jooweshk+NA+Pej+2+Pl+Prt+4	gijooweshkshwaabaniin

2+jooweshk+NA+Pej+2+Pl+Prt+Loc	gijooweshkshwaabaniing

2+jooweshk+NA+Pej+2+Pl+Prt+Pl	gijooweshkshwaabani1ag

3+jooweshk+NA+Pej+2+Pl+Prt+4	ojooweshkshwaabaniin

3+jooweshk+NA+Pej+2+Pl+Prt+Loc	ojooweshkshwaabaniing

3+jooweshk+NA+Pej+3+4+Prt+4	ojooweshkshniwibaniin
3+jooweshk+NA+Pej+3+4+Prt+4	ojooweshkshniibaniin

3+jooweshk+NA+Pej+3+4+Prt+Loc	ojooweshkshniwibaniing
3+jooweshk+NA+Pej+3+4+Prt+Loc	ojooweshkshniibaniing

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt	nijooweshkenymishnaaniban
1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt	nijooweshkenymishnaaniba

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	nijooweshkenymishnaany1dig

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt	nijooweshkensmishnaaniban
1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt	nijooweshkensmishnaaniba

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	nijooweshkensmishnaany1dig

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt	gijooweshkenymishnaaniban
2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt	gijooweshkenymishnaaniba

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	gijooweshkenymishnaany1dig

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt	gijooweshkenymishwaaban
2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt	gijooweshkenymishwaaba

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Voc+Pl	gijooweshkenymishwaadig

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt	gijooweshkensmishnaaniban
2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt	gijooweshkensmishnaaniba

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	gijooweshkensmishnaany1dig

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt	gijooweshkensmishwaaban
2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt	gijooweshkensmishwaaba

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Voc+Pl	gijooweshkensmishwaadig

3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt	ojooweshkenymishniwiban
3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt	ojooweshkenymishniwiba
3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt	ojooweshkenymishniiban
3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt	ojooweshkenymishniiba

3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt	ojooweshkensmishniwiban
3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt	ojooweshkensmishniwiba
3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt	ojooweshkensmishniiban
3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt	ojooweshkensmishniiba

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+4	nijooweshkenymishnaanin

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Loc	nijooweshkenymishnaaning

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Pl	nijooweshkenymishnaany1ag

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+4	nijooweshkensmishnaanin

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Loc	nijooweshkensmishnaaning

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Pl	nijooweshkensmishnaany1ag

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+4	gijooweshkenymishnaanin

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Loc	gijooweshkenymishnaaning

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Pl	gijooweshkenymishnaany1ag

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+4	gijooweshkenymishwaan

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Loc	gijooweshkenymishwaang

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Pl	gijooweshkenymishwaaag

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+4	gijooweshkensmishnaanin

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Loc	gijooweshkensmishnaaning

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Pl	gijooweshkensmishnaany1ag

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+4	gijooweshkensmishwaan

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Loc	gijooweshkensmishwaang

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Pl	gijooweshkensmishwaaag

3+jooweshk+NA+Con+ThmPos+Pej+2+Pl+4	ojooweshkenymishwaan

3+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Loc	ojooweshkenymishwaang

3+jooweshk+NA+Con+ThmPos+Pej+3+4+4	ojooweshkenymishniwan

3+jooweshk+NA+Con+ThmPos+Pej+3+4+Loc	ojooweshkenymishniing

3+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+4	ojooweshkensmishwaan

3+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Loc	ojooweshkensmishwaang

3+jooweshk+NA+Dim+ThmPos+Pej+3+4+4	ojooweshkensmishniwan

3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Loc	ojooweshkensmishniing

1+jooweshk+NA+Con+ThmPos+Pej+Prt+4	nijooweshkenymishibaniin

1+jooweshk+NA+Con+ThmPos+Pej+Prt+Loc	nijooweshkenymishibaniing

1+jooweshk+NA+Con+ThmPos+Pej+Prt+Pl	nijooweshkenymishibani1ag

1+jooweshk+NA+Dim+ThmPos+Pej+Prt+4	nijooweshkensmishibaniin

1+jooweshk+NA+Dim+ThmPos+Pej+Prt+Loc	nijooweshkensmishibaniing

1+jooweshk+NA+Dim+ThmPos+Pej+Prt+Pl	nijooweshkensmishibani1ag

2+jooweshk+NA+Con+ThmPos+Pej+Prt+4	gijooweshkenymishibaniin

2+jooweshk+NA+Con+ThmPos+Pej+Prt+Loc	gijooweshkenymishibaniing

2+jooweshk+NA+Con+ThmPos+Pej+Prt+Pl	gijooweshkenymishibani1ag

2+jooweshk+NA+Dim+ThmPos+Pej+Prt+4	gijooweshkensmishibaniin

2+jooweshk+NA+Dim+ThmPos+Pej+Prt+Loc	gijooweshkensmishibaniing

2+jooweshk+NA+Dim+ThmPos+Pej+Prt+Pl	gijooweshkensmishibani1ag

3+jooweshk+NA+Con+ThmPos+Pej+Prt+4	ojooweshkenymishibaniin

3+jooweshk+NA+Con+ThmPos+Pej+Prt+Loc	ojooweshkenymishibaniing

3+jooweshk+NA+Dim+ThmPos+Pej+Prt+4	ojooweshkensmishibaniin

3+jooweshk+NA+Dim+ThmPos+Pej+Prt+Loc	ojooweshkensmishibaniing

X+jooweshk+NA+Con+ThmPos+Pej+Prt+4	ijooweshkenymishibaniin

X+jooweshk+NA+Con+ThmPos+Pej+Prt+Loc	ijooweshkenymishibaniing

X+jooweshk+NA+Con+ThmPos+Pej+Prt+Pl	ijooweshkenymishibani1ag

X+jooweshk+NA+Dim+ThmPos+Pej+Prt+4	ijooweshkensmishibaniin

X+jooweshk+NA+Dim+ThmPos+Pej+Prt+Loc	ijooweshkensmishibaniing

X+jooweshk+NA+Dim+ThmPos+Pej+Prt+Pl	ijooweshkensmishibani1ag

1+jooweshk+NA+Con+ThmPos+1+Pl+Prt+4	nijooweshkenymnaanibaniin

1+jooweshk+NA+Con+ThmPos+1+Pl+Prt+Loc	nijooweshkenymnaanibaniing

1+jooweshk+NA+Con+ThmPos+1+Pl+Prt+Pl	nijooweshkenymnaanibani1ag

1+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+4	nijooweshkensmnaanibaniin

1+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+Loc	nijooweshkensmnaanibaniing

1+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+Pl	nijooweshkensmnaanibani1ag

2+jooweshk+NA+Con+ThmPos+1+Pl+Prt+4	gijooweshkenymnaanibaniin

2+jooweshk+NA+Con+ThmPos+1+Pl+Prt+Loc	gijooweshkenymnaanibaniing

2+jooweshk+NA+Con+ThmPos+1+Pl+Prt+Pl	gijooweshkenymnaanibani1ag

2+jooweshk+NA+Con+ThmPos+2+Pl+Prt+4	gijooweshkenymwaabaniin

2+jooweshk+NA+Con+ThmPos+2+Pl+Prt+Loc	gijooweshkenymwaabaniing

2+jooweshk+NA+Con+ThmPos+2+Pl+Prt+Pl	gijooweshkenymwaabani1ag

2+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+4	gijooweshkensmnaanibaniin

2+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+Loc	gijooweshkensmnaanibaniing

2+jooweshk+NA+Dim+ThmPos+1+Pl+Prt+Pl	gijooweshkensmnaanibani1ag

2+jooweshk+NA+Dim+ThmPos+2+Pl+Prt+4	gijooweshkensmwaabaniin

2+jooweshk+NA+Dim+ThmPos+2+Pl+Prt+Loc	gijooweshkensmwaabaniing

2+jooweshk+NA+Dim+ThmPos+2+Pl+Prt+Pl	gijooweshkensmwaabani1ag

3+jooweshk+NA+Con+ThmPos+2+Pl+Prt+4	ojooweshkenymwaabaniin

3+jooweshk+NA+Con+ThmPos+2+Pl+Prt+Loc	ojooweshkenymwaabaniing

3+jooweshk+NA+Con+ThmPos+3+4+Prt+4	ojooweshkenymniwibaniin
3+jooweshk+NA+Con+ThmPos+3+4+Prt+4	ojooweshkenymniibaniin

3+jooweshk+NA+Con+ThmPos+3+4+Prt+Loc	ojooweshkenymniwibaniing
3+jooweshk+NA+Con+ThmPos+3+4+Prt+Loc	ojooweshkenymniibaniing

3+jooweshk+NA+Dim+ThmPos+2+Pl+Prt+4	ojooweshkensmwaabaniin

3+jooweshk+NA+Dim+ThmPos+2+Pl+Prt+Loc	ojooweshkensmwaabaniing

3+jooweshk+NA+Dim+ThmPos+3+4+Prt+4	ojooweshkensmniwibaniin
3+jooweshk+NA+Dim+ThmPos+3+4+Prt+4	ojooweshkensmniibaniin

3+jooweshk+NA+Dim+ThmPos+3+4+Prt+Loc	ojooweshkensmniwibaniing
3+jooweshk+NA+Dim+ThmPos+3+4+Prt+Loc	ojooweshkensmniibaniing

1+jooweshk+NA+Con+Pej+1+Pl+Prt+4	nijooweshkenyishnaanibaniin

1+jooweshk+NA+Con+Pej+1+Pl+Prt+Loc	nijooweshkenyishnaanibaniing

1+jooweshk+NA+Con+Pej+1+Pl+Prt+Pl	nijooweshkenyishnaanibani1ag

1+jooweshk+NA+Dim+Pej+1+Pl+Prt+4	nijooweshkensishnaanibaniin

1+jooweshk+NA+Dim+Pej+1+Pl+Prt+Loc	nijooweshkensishnaanibaniing

1+jooweshk+NA+Dim+Pej+1+Pl+Prt+Pl	nijooweshkensishnaanibani1ag

2+jooweshk+NA+Con+Pej+1+Pl+Prt+4	gijooweshkenyishnaanibaniin

2+jooweshk+NA+Con+Pej+1+Pl+Prt+Loc	gijooweshkenyishnaanibaniing

2+jooweshk+NA+Con+Pej+1+Pl+Prt+Pl	gijooweshkenyishnaanibani1ag

2+jooweshk+NA+Con+Pej+2+Pl+Prt+4	gijooweshkenyishwaabaniin

2+jooweshk+NA+Con+Pej+2+Pl+Prt+Loc	gijooweshkenyishwaabaniing

2+jooweshk+NA+Con+Pej+2+Pl+Prt+Pl	gijooweshkenyishwaabani1ag

2+jooweshk+NA+Dim+Pej+1+Pl+Prt+4	gijooweshkensishnaanibaniin

2+jooweshk+NA+Dim+Pej+1+Pl+Prt+Loc	gijooweshkensishnaanibaniing

2+jooweshk+NA+Dim+Pej+1+Pl+Prt+Pl	gijooweshkensishnaanibani1ag

2+jooweshk+NA+Dim+Pej+2+Pl+Prt+4	gijooweshkensishwaabaniin

2+jooweshk+NA+Dim+Pej+2+Pl+Prt+Loc	gijooweshkensishwaabaniing

2+jooweshk+NA+Dim+Pej+2+Pl+Prt+Pl	gijooweshkensishwaabani1ag

3+jooweshk+NA+Con+Pej+2+Pl+Prt+4	ojooweshkenyishwaabaniin

3+jooweshk+NA+Con+Pej+2+Pl+Prt+Loc	ojooweshkenyishwaabaniing

3+jooweshk+NA+Con+Pej+3+4+Prt+4	ojooweshkenyishniwibaniin
3+jooweshk+NA+Con+Pej+3+4+Prt+4	ojooweshkenyishniibaniin

3+jooweshk+NA+Con+Pej+3+4+Prt+Loc	ojooweshkenyishniwibaniing
3+jooweshk+NA+Con+Pej+3+4+Prt+Loc	ojooweshkenyishniibaniing

3+jooweshk+NA+Dim+Pej+2+Pl+Prt+4	ojooweshkensishwaabaniin

3+jooweshk+NA+Dim+Pej+2+Pl+Prt+Loc	ojooweshkensishwaabaniing

3+jooweshk+NA+Dim+Pej+3+4+Prt+4	ojooweshkensishniwibaniin
3+jooweshk+NA+Dim+Pej+3+4+Prt+4	ojooweshkensishniibaniin

3+jooweshk+NA+Dim+Pej+3+4+Prt+Loc	ojooweshkensishniwibaniing
3+jooweshk+NA+Dim+Pej+3+4+Prt+Loc	ojooweshkensishniibaniing

1+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+4	nijooweshkmishnaanibaniin

1+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+Loc	nijooweshkmishnaanibaniing

1+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+Pl	nijooweshkmishnaanibani1ag

2+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+4	gijooweshkmishnaanibaniin

2+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+Loc	gijooweshkmishnaanibaniing

2+jooweshk+NA+ThmPos+Pej+1+Pl+Prt+Pl	gijooweshkmishnaanibani1ag

2+jooweshk+NA+ThmPos+Pej+2+Pl+Prt+4	gijooweshkmishwaabaniin

2+jooweshk+NA+ThmPos+Pej+2+Pl+Prt+Loc	gijooweshkmishwaabaniing

2+jooweshk+NA+ThmPos+Pej+2+Pl+Prt+Pl	gijooweshkmishwaabani1ag

3+jooweshk+NA+ThmPos+Pej+2+Pl+Prt+4	ojooweshkmishwaabaniin

3+jooweshk+NA+ThmPos+Pej+2+Pl+Prt+Loc	ojooweshkmishwaabaniing

3+jooweshk+NA+ThmPos+Pej+3+4+Prt+4	ojooweshkmishniwibaniin
3+jooweshk+NA+ThmPos+Pej+3+4+Prt+4	ojooweshkmishniibaniin

3+jooweshk+NA+ThmPos+Pej+3+4+Prt+Loc	ojooweshkmishniwibaniing
3+jooweshk+NA+ThmPos+Pej+3+4+Prt+Loc	ojooweshkmishniibaniing

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+4	nijooweshkenymishnaanibaniin

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	nijooweshkenymishnaanibaniing

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	nijooweshkenymishnaanibani1ag

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	nijooweshkensmishnaanibaniin

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	nijooweshkensmishnaanibaniing

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	nijooweshkensmishnaanibani1ag

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+4	gijooweshkenymishnaanibaniin

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	gijooweshkenymishnaanibaniing

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	gijooweshkenymishnaanibani1ag

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt+4	gijooweshkenymishwaabaniin

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	gijooweshkenymishwaabaniing

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt+Pl	gijooweshkenymishwaabani1ag

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	gijooweshkensmishnaanibaniin

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	gijooweshkensmishnaanibaniing

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	gijooweshkensmishnaanibani1ag

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	gijooweshkensmishwaabaniin

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	gijooweshkensmishwaabaniing

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt+Pl	gijooweshkensmishwaabani1ag

3+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt+4	ojooweshkenymishwaabaniin

3+jooweshk+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	ojooweshkenymishwaabaniing

3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt+4	ojooweshkenymishniwibaniin
3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt+4	ojooweshkenymishniibaniin

3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt+Loc	ojooweshkenymishniwibaniing
3+jooweshk+NA+Con+ThmPos+Pej+3+4+Prt+Loc	ojooweshkenymishniibaniing

3+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	ojooweshkensmishwaabaniin

3+jooweshk+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	ojooweshkensmishwaabaniing

3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt+4	ojooweshkensmishniwibaniin
3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt+4	ojooweshkensmishniibaniin

3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	ojooweshkensmishniwibaniing
3+jooweshk+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	ojooweshkensmishniibaniing

